Benchmakrs,MLBlock-12,MLBlock-9,MLBlock-8,MLBlock-6,PIRDSP,DSP58,DSP48
VGG16,7.401045726001945546e+00,6.550702129704268017e+00,5.222646302896286841e+00,3.883806246830865838e+00,3.883806246830865838e+00,2.062591696006085940e+00,1.000000000000000000e+00
ResNet18,8.435821616309054249e+00,7.137486009304045531e+00,5.695360448529911856e+00,4.153527488764078512e+00,4.158437917356871516e+00,2.194599105948621620e+00,1.000000000000000000e+00
All,7.948868256164532298e+00,6.861352418904149708e+00,5.472906732937618202e+00,4.026599845501389829e+00,4.029199484168162648e+00,2.132477971858016907e+00,1.000000000000000000e+00
