Benchmakrs,MLBlock-12,MLBlock-9,MLBlock-8,MLBlock-6,PIRDSP,DSP58,DSP48
VGG16,7.387785692492761846e+00,7.982674628229105451e+00,5.176633767637345507e+00,3.275151387476589626e+00,2.577321630201878211e+00,1.597957313324022133e+00,1.000000000000000000e+00
ResNet18,6.009571240237613132e+00,6.005814437148028873e+00,4.228104578562512650e+00,2.075341994904733589e+00,1.822561875492886507e+00,1.320736976346487790e+00,1.000000000000000000e+00
All,6.658142747181210019e+00,6.936101585892067156e+00,4.674471255774197864e+00,2.639958179644428693e+00,2.177742936532411466e+00,1.451193605512386409e+00,1.000000000000000000e+00
